# OWASP ZAP Rules Configuration
# This file defines the rules for OWASP ZAP security scanning

# Rule ID	Rule Name	Enabled	Level	Strength

# Information Disclosure
10013	HTTP Strict Transport Security (HSTS) Header Not Set	TRUE	MEDIUM	MEDIUM
10014	HTTP to HTTPS Insecure Transition in Hyperlink	TRUE	MEDIUM	MEDIUM
10015	HTTP to HTTPS Insecure Transition in CSS	TRUE	MEDIUM	MEDIUM
10016	HTTP to HTTPS Insecure Transition in JavaScript	TRUE	MEDIUM	MEDIUM
10017	HTTP to HTTPS Insecure Transition in Image	TRUE	MEDIUM	MEDIUM
10018	HTTP to HTTPS Insecure Transition in Form	TRUE	MEDIUM	MEDIUM
10019	HTTP to HTTPS Insecure Transition in Frame	TRUE	MEDIUM	MEDIUM
10020	HTTP to HTTPS Insecure Transition in Object	TRUE	MEDIUM	MEDIUM
10021	HTTP to HTTPS Insecure Transition in Embed	TRUE	MEDIUM	MEDIUM
10022	HTTP to HTTPS Insecure Transition in Link	TRUE	MEDIUM	MEDIUM
10023	HTTP to HTTPS Insecure Transition in Script	TRUE	MEDIUM	MIGH
10024	HTTP to HTTPS Insecure Transition in Style	TRUE	MEDIUM	MEDIUM
10025	HTTP to HTTPS Insecure Transition in Iframe	TRUE	MEDIUM	MEDIUM
10026	HTTP to HTTPS Insecure Transition in Video	TRUE	MEDIUM	MEDIUM
10027	HTTP to HTTPS Insecure Transition in Audio	TRUE	MEDIUM	MEDIUM
10028	HTTP to HTTPS Insecure Transition in Source	TRUE	MEDIUM	MEDIUM
10029	HTTP to HTTPS Insecure Transition in Track	TRUE	MEDIUM	MEDIUM
10030	HTTP to HTTPS Insecure Transition in Input	TRUE	MEDIUM	MEDIUM
10031	HTTP to HTTPS Insecure Transition in Button	TRUE	MEDIUM	MEDIUM
10032	HTTP to HTTPS Insecure Transition in Select	TRUE	MEDIUM	MEDIUM
10033	HTTP to HTTPS Insecure Transition in Textarea	TRUE	MEDIUM	MEDIUM
10034	HTTP to HTTPS Insecure Transition in Keygen	TRUE	MEDIUM	MEDIUM
10035	HTTP to HTTPS Insecure Transition in Label	TRUE	MEDIUM	MEDIUM
10036	HTTP to HTTPS Insecure Transition in Fieldset	TRUE	MEDIUM	MEDIUM
10037	HTTP to HTTPS Insecure Transition in Legend	TRUE	MEDIUM	MEDIUM
10038	HTTP to HTTPS Insecure Transition in Datalist	TRUE	MEDIUM	MEDIUM
10039	HTTP to HTTPS Insecure Transition in Optgroup	TRUE	MEDIUM	MEDIUM
10040	HTTP to HTTPS Insecure Transition in Option	TRUE	MEDIUM	MEDIUM
10041	HTTP to HTTPS Insecure Transition in Progress	TRUE	MEDIUM	MEDIUM
10042	HTTP to HTTPS Insecure Transition in Meter	TRUE	MEDIUM	MEDIUM
10043	HTTP to HTTPS Insecure Transition in Output	TRUE	MEDIUM	MEDIUM
10044	HTTP to HTTPS Insecure Transition in Details	TRUE	MEDIUM	MEDIUM
10045	HTTP to HTTPS Insecure Transition in Summary	TRUE	MEDIUM	MEDIUM
10046	HTTP to HTTPS Insecure Transition in Command	TRUE	MEDIUM	MEDIUM
10047	HTTP to HTTPS Insecure Transition in Menu	TRUE	MEDIUM	MEDIUM
10048	HTTP to HTTPS Insecure Transition in Menuitem	TRUE	MEDIUM	MEDIUM
10049	HTTP to HTTPS Insecure Transition in Dialog	TRUE	MEDIUM	MEDIUM
10050	HTTP to HTTPS Insecure Transition in Script	TRUE	MEDIUM	MEDIUM
10051	HTTP to HTTPS Insecure Transition in Noframes	TRUE	MEDIUM	MEDIUM
10052	HTTP to HTTPS Insecure Transition in Iframe	TRUE	MEDIUM	MEDIUM
10053	HTTP to HTTPS Insecure Transition in Frameset	TRUE	MEDIUM	MEDIUM
10054	HTTP to HTTPS Insecure Transition in Frame	TRUE	MEDIUM	MEDIUM
10055	HTTP to HTTPS Insecure Transition in Object	TRUE	MEDIUM	MEDIUM
10056	HTTP to HTTPS Insecure Transition in Embed	TRUE	MEDIUM	MEDIUM
10057	HTTP to HTTPS Insecure Transition in Applet	TRUE	MEDIUM	MEDIUM
10058	HTTP to HTTPS Insecure Transition in Param	TRUE	MEDIUM	MEDIUM
10059	HTTP to HTTPS Insecure Transition in Source	TRUE	MEDIUM	MEDIUM
10060	HTTP to HTTPS Insecure Transition in Track	TRUE	MEDIUM	MEDIUM
10061	HTTP to HTTPS Insecure Transition in Wbr	TRUE	MEDIUM	MEDIUM
10062	HTTP to HTTPS Insecure Transition in Area	TRUE	MEDIUM	MEDIUM
10063	HTTP to HTTPS Insecure Transition in Map	TRUE	MEDIUM	MEDIUM
10064	HTTP to HTTPS Insecure Transition in Canvas	TRUE	MEDIUM	MEDIUM
10065	HTTP to HTTPS Insecure Transition in Audio	TRUE	MEDIUM	MEDIUM
10066	HTTP to HTTPS Insecure Transition in Video	TRUE	MEDIUM	MEDIUM
